block_number,total_supply,timestamp,time
14026088,150000000000000000000000000,1642463054,2022-01-17 23:44:14
14032088,150000000000000000000000000,1642542847,2022-01-18 21:54:07
14039088,150000000000000000000000000,1642636641,2022-01-19 23:57:21
14045088,150000000000000000000000000,1642716392,2022-01-20 22:06:32
14051088,150000000000000000000000000,1642797166,2022-01-21 20:32:46
14058088,150000000000000000000000000,1642890210,2022-01-22 22:23:30
14064088,150000000000000000000000000,1642969907,2022-01-23 20:31:47
14071088,150000000000000000000000000,1643063948,2022-01-24 22:39:08
14077088,150000000000000000000000000,1643145015,2022-01-25 21:10:15
14084088,150000000000000000000000000,1643238339,2022-01-26 23:05:39
14090088,150000000000000000000000000,1643318138,2022-01-27 21:15:38
14097088,150000000000000000000000000,1643411761,2022-01-28 23:16:01
14103088,150000000000000000000000000,1643491709,2022-01-29 21:28:29
14110088,150000000000000000000000000,1643584463,2022-01-30 23:14:23
14116088,150000000000000000000000000,1643664538,2022-01-31 21:28:58
14123088,150000000000000000000000000,1643757858,2022-02-01 23:24:18
14129088,150000000000000000000000000,1643837934,2022-02-02 21:38:54
14136088,150000000000000000000000000,1643932314,2022-02-03 23:51:54
14142088,150000000000000000000000000,1644011050,2022-02-04 21:44:10
14148088,150000000000000000000000000,1644092286,2022-02-05 20:18:06
14155088,150000000000000000000000000,1644185069,2022-02-06 22:04:29
14161088,150000000000000000000000000,1644265431,2022-02-07 20:23:51
14168088,150000000000000000000000000,1644358989,2022-02-08 22:23:09
14174088,150000000000000000000000000,1644439311,2022-02-09 20:41:51
14181088,150000000000000000000000000,1644532908,2022-02-10 22:41:48
14187088,150000000000000000000000000,1644613321,2022-02-11 21:02:01
14194088,150000000000000000000000000,1644706251,2022-02-12 22:50:51
14200088,150000000000000000000000000,1644785449,2022-02-13 20:50:49
14207088,150000000000000000000000000,1644879882,2022-02-14 23:04:42
14213088,150000000000000000000000000,1644959622,2022-02-15 21:13:42
14220088,150000000000000000000000000,1645053756,2022-02-16 23:22:36
14226088,150000000000000000000000000,1645133539,2022-02-17 21:32:19
14233088,150000000000000000000000000,1645227868,2022-02-18 23:44:28
14239088,150000000000000000000000000,1645308679,2022-02-19 22:11:19
14245088,150000000000000000000000000,1645388760,2022-02-20 20:26:00
14252088,150000000000000000000000000,1645482154,2022-02-21 22:22:34
14258088,150000000000000000000000000,1645562878,2022-02-22 20:47:58
14265088,150000000000000000000000000,1645655610,2022-02-23 22:33:30
14271088,150000000000000000000000000,1645736049,2022-02-24 20:54:09
14278088,150000000000000000000000000,1645829579,2022-02-25 22:52:59
14284088,150000000000000000000000000,1645910040,2022-02-26 21:14:00
14291088,150000000000000000000000000,1646002865,2022-02-27 23:01:05
14297088,150000000000000000000000000,1646083897,2022-02-28 21:31:37
14304088,150000000000000000000000000,1646176832,2022-03-01 23:20:32
14310088,150000000000000000000000000,1646257336,2022-03-02 21:42:16
14317088,150000000000000000000000000,1646351538,2022-03-03 23:52:18
14323088,150000000000000000000000000,1646431481,2022-03-04 22:04:41
14329088,150000000000000000000000000,1646512616,2022-03-05 20:36:56
14336088,150000000000000000000000000,1646607124,2022-03-06 22:52:04
14342088,150000000000000000000000000,1646687815,2022-03-07 21:16:55
14349088,150000000000000000000000000,1646781892,2022-03-08 23:24:52
14355088,150000000000000000000000000,1646862472,2022-03-09 21:47:52
14362088,150000000000000000000000000,1646955114,2022-03-10 23:31:54
14368088,150000000000000000000000000,1647036719,2022-03-11 22:11:59
14374088,150000000000000000000000000,1647116702,2022-03-12 20:25:02
14381088,150000000000000000000000000,1647211604,2022-03-13 22:46:44
14387088,150000000000000000000000000,1647292237,2022-03-14 21:10:37
14394088,150000000000000000000000000,1647386390,2022-03-15 23:19:50
14400088,150000000000000000000000000,1647467258,2022-03-16 21:47:38
14406088,150000000000000000000000000,1647548228,2022-03-17 20:17:08
14413088,150000000000000000000000000,1647642360,2022-03-18 22:26:00
14419088,150000000000000000000000000,1647722276,2022-03-19 20:37:56
14426088,150000000000000000000000000,1647817302,2022-03-20 23:01:42
14432088,150000000000000000000000000,1647897738,2022-03-21 21:22:18
14439088,150000000000000000000000000,1647991647,2022-03-22 23:27:27
14445088,150000000000000000000000000,1648072130,2022-03-23 21:48:50
14451088,150000000000000000000000000,1648153553,2022-03-24 20:25:53
14458088,150000000000000000000000000,1648247308,2022-03-25 22:28:28
14464088,150000000000000000000000000,1648328094,2022-03-26 20:54:54
14471088,150000000000000000000000000,1648422491,2022-03-27 23:08:11
14477088,150000000000000000000000000,1648502953,2022-03-28 21:29:13
14484088,150000000000000000000000000,1648596558,2022-03-29 23:29:18
14490088,150000000000000000000000000,1648677720,2022-03-30 22:02:00
14496088,150000000000000000000000000,1648758466,2022-03-31 20:27:46
14503088,150000000000000000000000000,1648852447,2022-04-01 22:34:07
14509088,150000000000000000000000000,1648934237,2022-04-02 21:17:17
14516088,150000000000000000000000000,1649028449,2022-04-03 23:27:29
14522088,150000000000000000000000000,1649109958,2022-04-04 22:05:58
14528088,150000000000000000000000000,1649190480,2022-04-05 20:28:00
14535088,150000000000000000000000000,1649285076,2022-04-06 22:44:36
14541088,150000000000000000000000000,1649365580,2022-04-07 21:06:20
14548088,150000000000000000000000000,1649461082,2022-04-08 23:38:02
14554088,150000000000000000000000000,1649541576,2022-04-09 21:59:36
14560088,150000000000000000000000000,1649622455,2022-04-10 20:27:35
14567088,150000000000000000000000000,1649716827,2022-04-11 22:40:27
14573088,150000000000000000000000000,1649797477,2022-04-12 21:04:37
14580088,150000000000000000000000000,1649892487,2022-04-13 23:28:07
14586088,150000000000000000000000000,1649973354,2022-04-14 21:55:54
14592088,150000000000000000000000000,1650054266,2022-04-15 20:24:26
14599088,150000000000000000000000000,1650149058,2022-04-16 22:44:18
14605088,150000000000000000000000000,1650229661,2022-04-17 21:07:41
14612088,150000000000000000000000000,1650324546,2022-04-18 23:29:06
14618088,150000000000000000000000000,1650405057,2022-04-19 21:50:57
14624088,150000000000000000000000000,1650486901,2022-04-20 20:35:01
